# 10,10,1
1.300034611545185514e-01,6.394678054739554307e-01,5.316485847586437385e-01,6.251167080498050144e-01,1.885310793856379563e-01,4.787971488932123432e-01,1.627442118507363977e-01,7.821760110430359125e-01,9.358652831666904870e-01,7.677888631352213222e-01
6.952537419014129805e-01,8.750514665073816367e-02,3.169620581132257531e-01,2.305769620984362556e-01,5.977763195868385226e-01,1.013214039454169990e-01,1.953093677162665021e-02,1.473644082343347206e-01,4.520772871115775748e-01,5.480242224021679709e-01
2.597266185630273672e-01,2.326225602265429293e-01,9.614871853942016378e-01,8.756011712115312484e-01,6.857539681551367838e-01,5.285618743521370844e-01,5.093573432496569797e-01,2.557379184146297835e-01,7.169800628755513827e-01,3.744597652231872464e-01
9.296865276735921668e-02,5.021687292903865840e-01,7.593960807685635750e-01,2.702158971610442162e-01,1.133764464625852675e-02,2.559276189100007093e-01,5.098998346149690164e-01,7.269204736532991484e-01,8.806205804629622103e-01,3.562716075995321363e-01
3.451757954622777236e-01,4.683816214351690377e-01,3.510643441415547406e-01,4.926027299938812165e-01,9.574563456598658151e-01,3.583681533671055908e-01,8.354212592921461678e-04,1.783365772425826723e-01,6.856925359964922695e-01,9.208952484621495405e-01
5.032944531620830997e-01,4.285679713609336083e-01,8.738054208429794079e-01,2.545470063810247874e-01,1.533378431463475744e-01,2.566783561624614851e-01,3.010130403007822419e-01,4.391173232524605563e-01,4.177984524683898693e-01,5.638860896415173185e-01
8.590597421767635078e-01,8.925250709861853871e-02,2.789874926403551614e-01,2.307790475760023163e-01,4.860337154927620862e-01,1.365056061215430550e-01,3.260196150438011697e-01,4.779052725209638197e-01,4.096240581771817268e-01,6.134008028585489214e-01
9.829693097453322537e-01,9.415439787197588117e-02,7.680741184759486417e-01,7.326407088811037749e-02,3.426844289214966421e-01,4.656077432805776350e-01,6.246397915946354518e-01,6.985445482866082800e-01,1.414109147540041356e-01,4.360862327372708735e-01
7.318406006544209141e-02,4.098186920472416395e-01,1.118419562040721127e-01,7.097947538342733731e-01,3.090090953889871317e-01,9.239752529380123036e-01,5.593517465742647854e-02,2.108149984327633009e-01,8.684929131285310522e-01,2.468639972028396912e-01
7.006364453062857711e-01,1.721853220680834573e-01,4.887450044272744210e-01,8.285501319535307774e-01,1.406155404020070776e-01,8.113936064206642707e-01,4.742517573806293019e-01,4.965145049558494783e-02,6.359215597266474340e-01,5.109019378077330753e-01
